new_genre,mean_pca1,mean_pca2,radius
world-music,-0.006983587119299158,0.004486228672788397,3021
electronic,0.004018060582115483,-0.005505937761132473,2210
rock,0.0064746365790775565,-0.009530958610919179,1082
metal,-0.0032294051925099054,0.003177027280106738,1658
j-pop,0.03934176068087367,-0.002981523082735216,1150
kids,0.006762365643979776,-0.01086355357252789,1151
honky-tonk,-0.007738476374693873,-0.030436799199708743,601
indie,-0.018382287695972034,-0.01616281420530006,609
soundtracks,-0.005914419434881024,-0.014873282902358016,588
reggae,-0.018226825878103276,-0.025456989568167606,565
